country,region,totalCases,totalTests,activeCases
India,Asia,44981475,928612551,14493
Japan,Asia,33803572,100414883,N/A
S. Korea,Asia,31438960,15804065,296086
Turkey,Asia,17232066,162743369,N/A
Vietnam,Asia,11592604,85826548,916827
Taiwan,Asia,10239998,30742304,0
Iran,Asia,7609922,55353767,121267
Indonesia,Asia,6798097,114158919,16677
Malaysia,Asia,5088009,68352292,21090
Israel,Asia,4823329,41373364,12356
DPRK,Asia,4772813,,0
Thailand,Asia,4736356,17270775,9731
Philippines,Asia,4116925,35133100,15895
Hong Kong,Asia,2897432,76127725,11803
Iraq,Asia,2465545,19544451,673
Singapore,Asia,2391248,24756666,239938
Bangladesh,Asia,2038384,15254399,10490
Georgia,Asia,1840187,16920079,46580
Jordan,Asia,1746997,17201885,1868
Pakistan,Asia,1580900,30571377,11551
Kazakhstan,Asia,1411831,11575012,14963
Lebanon,Asia,1237556,4795578,139055
UAE,Asia,1065607,200615238,11746
Mongolia,Asia,1008038,4030048,45
Nepal,Asia,1003236,6040923,112
Saudi Arabia,Asia,841469,45481735,3900
Azerbaijan,Asia,831658,7604359,98
Bahrain,Asia,721162,10840228,302
Sri Lanka,Asia,672293,6486117,47
Kuwait,Asia,665851,8455743,3044
Cyprus,Asia,660854,9640118,2404
Myanmar,Asia,637321,10519883,1705
Palestine,Asia,621008,3078533,159
Qatar,Asia,511144,4065369,580
Armenia,Asia,449062,3242901,5153
Oman,Asia,399449,25000000,10152
Brunei,Asia,292644,717784,48818
Uzbekistan,Asia,253287,1377915,10164
Afghanistan,Asia,219043,1249005,16042
Laos,Asia,218101,1233207,N/A
Kyrgyzstan,Asia,206888,1907195,7491
Maldives,Asia,186589,2213831,22588
Cambodia,Asia,138736,3091420,1
Bhutan,Asia,62668,2303734,1083
Syria,Asia,57577,146269,43
Timor-Leste,Asia,23433,278529,193
Tajikistan,Asia,17786,,397
Yemen,Asia,11945,329592,662
Macao,Asia,3579,7850,11
China,Asia,503302,160000000,118977
